GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
39169,96,385,2,150,,,,,94,300,1,0,,
39173,5,1075,3,80,,,3,80,4,1050,,,1,25
40013,1,0,,,,,,,1,0,,,,
40019,2,220,,,,,,,2,220,,,,
40021,8,131,2,0,,,2,0,8,131,,,,
40027,16,1130,3,0,,,,,10,1040,,,,
40031,4,240,1,20,,,1,20,4,240,,,,
40041,1,150,1,0,,,,,1,150,,,,
40047,4,0,,,,,,,3,0,,,,
40049,2,40,,,,,,,2,40,,,,
40055,1,0,,,,,,,,,,,,
40101,3,65,,,,,,,2,0,,,,
40109,31,2575,10,1740,,,3,40,17,1950,4,1100,,
40115,2,0,,,,,,,2,0,,,,
40119,4,200,2,0,,,1,0,4,200,,,,
